scenario,receiver,alpha,eta,nu,latency,dead_time,jitter_deg,trials,errors,ber,helstrom_bound
02_Phase_Jitter_2deg,Dolinar,1.5166666666666666,1.0,0.0,0.0,0.0,2.0,100000000,63473,0.00063473,2.5232436221322985e-05
02_Phase_Jitter_2deg,Opt_Kennedy,1.5166666666666666,1.0,0.0,0.0,0.0,2.0,100000000,145464,0.00145464,2.5232436221322985e-05
02_Phase_Jitter_2deg,Dolinar,1.5875,1.0,0.0,0.0,0.0,2.0,100000000,62377,0.00062377,1.0470917661709043e-05
02_Phase_Jitter_2deg,Opt_Kennedy,1.5875,1.0,0.0,0.0,0.0,2.0,100000000,154927,0.00154927,1.0470917661709043e-05
02_Phase_Jitter_2deg,Dolinar,1.6583333333333334,1.0,0.0,0.0,0.0,2.0,100000000,61292,0.00061292,4.174282942914775e-06
02_Phase_Jitter_2deg,Opt_Kennedy,1.6583333333333334,1.0,0.0,0.0,0.0,2.0,100000000,168065,0.00168065,4.174282942914775e-06
02_Phase_Jitter_2deg,Dolinar,1.7291666666666667,1.0,0.0,0.0,0.0,2.0,100000000,61221,0.00061221,1.5986321398875347e-06
02_Phase_Jitter_2deg,Opt_Kennedy,1.7291666666666667,1.0,0.0,0.0,0.0,2.0,100000000,181560,0.0018156,1.5986321398875347e-06
02_Phase_Jitter_2deg,Dolinar,1.8,1.0,0.0,0.0,0.0,2.0,100000000,61442,0.00061442,5.88144145885483e-07
02_Phase_Jitter_2deg,Opt_Kennedy,1.8,1.0,0.0,0.0,0.0,2.0,100000000,196146,0.00196146,5.88144145885483e-07
03_Phase_Jitter_5deg,Dolinar,0.1,1.0,0.0,0.0,0.0,5.0,100000000,40142423,0.40142423,0.4009917164479698
03_Phase_Jitter_5deg,Opt_Kennedy,0.1,1.0,0.0,0.0,0.0,5.0,100000000,41507889,0.41507889,0.4009917164479698
03_Phase_Jitter_5deg,Dolinar,0.1708333333333333,1.0,0.0,0.0,0.0,5.0,100000000,33483442,0.33483442,0.334033117602116
03_Phase_Jitter_5deg,Opt_Kennedy,0.1708333333333333,1.0,0.0,0.0,0.0,5.0,100000000,35685554,0.35685554,0.334033117602116
03_Phase_Jitter_5deg,Dolinar,0.2416666666666666,1.0,0.0,0.0,0.0,5.0,100000000,27286632,0.27286632,0.2717838894607052
03_Phase_Jitter_5deg,Opt_Kennedy,0.2416666666666666,1.0,0.0,0.0,0.0,5.0,100000000,30136664,0.30136664,0.2717838894607052
03_Phase_Jitter_5deg,Dolinar,0.3125,1.0,0.0,0.0,0.0,5.0,100000000,21708602,0.21708602,0.2156735354217483
03_Phase_Jitter_5deg,Opt_Kennedy,0.3125,1.0,0.0,0.0,0.0,5.0,100000000,24960922,0.24960922,0.2156735354217483
03_Phase_Jitter_5deg,Dolinar,0.3833333333333333,1.0,0.0,0.0,0.0,5.0,100000000,16846379,0.16846379,0.1666685181642737
03_Phase_Jitter_5deg,Opt_Kennedy,0.3833333333333333,1.0,0.0,0.0,0.0,5.0,100000000,20254855,0.20254855,0.1666685181642737
03_Phase_Jitter_5deg,Dolinar,0.4541666666666666,1.0,0.0,0.0,0.0,5.0,100000000,12727421,0.12727421,0.1252349270996688
03_Phase_Jitter_5deg,Opt_Kennedy,0.4541666666666666,1.0,0.0,0.0,0.0,5.0,100000000,16062450,0.1606245,0.1252349270996688
03_Phase_Jitter_5deg,Dolinar,0.525,1.0,0.0,0.0,0.0,5.0,100000000,9372320,0.0937232,0.09135588385022
03_Phase_Jitter_5deg,Opt_Kennedy,0.525,1.0,0.0,0.0,0.0,5.0,100000000,12424787,0.12424787,0.09135588385022
03_Phase_Jitter_5deg,Dolinar,0.5958333333333333,1.0,0.0,0.0,0.0,5.0,100000000,6724172,0.06724172,0.0645970922766597
03_Phase_Jitter_5deg,Opt_Kennedy,0.5958333333333333,1.0,0.0,0.0,0.0,5.0,100000000,9363268,0.09363268,0.0645970922766597
03_Phase_Jitter_5deg,Dolinar,0.6666666666666666,1.0,0.0,0.0,0.0,5.0,100000000,4711968,0.04711968,0.0442076447015774
03_Phase_Jitter_5deg,Opt_Kennedy,0.6666666666666666,1.0,0.0,0.0,0.0,5.0,100000000,6862352,0.06862352,0.0442076447015774
03_Phase_Jitter_5deg,Dolinar,0.7374999999999999,1.0,0.0,0.0,0.0,5.0,100000000,3238056,0.03238056,0.0292392249664353
03_Phase_Jitter_5deg,Opt_Kennedy,0.7374999999999999,1.0,0.0,0.0,0.0,5.0,100000000,4893892,0.04893892,0.0292392249664353
03_Phase_Jitter_5deg,Dolinar,0.8083333333333332,1.0,0.0,0.0,0.0,5.0,100000000,2196710,0.0219671,0.0186657817140447
03_Phase_Jitter_5deg,Opt_Kennedy,0.8083333333333332,1.0,0.0,0.0,0.0,5.0,100000000,3408245,0.03408245,0.0186657817140447
03_Phase_Jitter_5deg,Dolinar,0.8791666666666667,1.0,0.0,0.0,0.0,5.0,100000000,1491199,0.01491199,0.0114877244351074
03_Phase_Jitter_5deg,Opt_Kennedy,0.8791666666666667,1.0,0.0,0.0,0.0,5.0,100000000,2334962,0.02334962,0.0114877244351074
